ID;name;gender;age;gameExp;rankEstim1;avatarChoice;consentChoice;snakeLevel;excited1;upset1;scared1;hostile1;proud1;irritable1;alert1;ashamed1;nervous1;determined1;trial;score;oppScore;scoreDiff;win;close;oppName;oppRank;rankStart;rankEnd;appleChoice;rankChoice;excited2;upset2;scared2;hostile2;proud2;irritable2;alert2;ashamed2;nervous2;determined2;mot1;mot2;mot3;mot4;mot5;mot6;mot7;mot8;enjoyed;satisfied;fair;credible;rankEstim2
6;6;2;20;1;1;4;1;2;4;1;1;1;1;1;1;1;1;3;1;12;1;20;1;0;LEE;92;95;94;5;2;;;;;;;;;;;;;;;;;;;;;;;
6;6;2;20;1;1;4;1;2;4;1;1;1;1;1;1;1;1;3;2;12;15;-3;0;0;Shirley;4;99;99;5;1;;;;;;;;;;;;;;;;;;;;;;;
6;6;2;20;1;1;4;1;2;4;1;1;1;1;1;1;1;1;3;3;8;10;-2;0;1;karen77;132;104;103;4;2;;;;;;;;;;;;;;;;;;;;;;;
6;6;2;20;1;1;4;1;2;4;1;1;1;1;1;1;1;1;3;4;17;15;3;1;0;Ed;10;98;97;5;2;;;;;;;;;;;;;;;;;;;;;;;
6;6;2;20;1;1;4;1;2;4;1;1;1;1;1;1;1;1;3;5;12;14;-2;0;1;emma;65;102;101;5;2;;;;;;;;;;;;;;;;;;;;;;;
6;6;2;20;1;1;4;1;2;4;1;1;1;1;1;1;1;1;3;6;9;15;9;0;0;Nate;24;106;103;5;4;;;;;;;;;;;;;;;;;;;;;;;
6;6;2;20;1;1;4;1;2;4;1;1;1;1;1;1;1;1;3;7;16;21;-7;0;0;taylor;118;108;105;5;4;;;;;;;;;;;;;;;;;;;;;;;
6;6;2;20;1;1;4;1;2;4;1;1;1;1;1;1;1;1;3;8;16;15;1;1;1;BRAD;104;100;97;5;4;;;;;;;;;;;;;;;;;;;;;;;
6;6;2;20;1;1;4;1;2;4;1;1;1;1;1;1;1;1;3;9;10;16;-9;0;0;anthonY;2;102;99;5;4;;;;;;;;;;;;;;;;;;;;;;;
6;6;2;20;1;1;4;1;2;4;1;1;1;1;1;1;1;1;3;10;12;9;5;1;0;linda;54;94;91;5;4;;;;;;;;;;;;;;;;;;;;;;;
6;6;2;20;1;1;4;1;2;4;1;1;1;1;1;1;1;1;3;11;14;16;1;0;1;Vivian;189;96;93;5;4;;;;;;;;;;;;;;;;;;;;;;;
6;6;2;20;1;1;4;1;2;4;1;1;1;1;1;1;1;1;3;12;11;13;1;0;1;mona;98;98;95;5;4;;;;;;;;;;;;;;;;;;;;;;;
6;6;2;20;1;1;4;1;2;4;1;1;1;1;1;1;1;1;3;13;11;10;0;1;1;George;87;90;87;5;4;;;;;;;;;;;;;;;;;;;;;;;
6;6;2;20;1;1;4;1;2;4;1;1;1;1;1;1;1;1;3;14;8;18;17;0;0;matt;196;92;89;5;4;;;;;;;;;;;;;;;;;;;;;;;
6;6;2;20;1;1;4;1;2;4;1;1;1;1;1;1;1;1;3;15;11;8;5;1;0;Carrie;7;84;81;5;4;;;;;;;;;;;;;;;;;;;;;;;
6;6;2;20;1;1;4;1;2;4;1;1;1;1;1;1;1;1;3;16;13;15;1;0;1;ScoTT;80;86;83;5;4;;;;;;;;;;;;;;;;;;;;;;;
6;6;2;20;1;1;4;1;2;4;1;1;1;1;1;1;1;1;3;17;13;16;-4;0;0;kev88;46;88;85;5;4;;;;;;;;;;;;;;;;;;;;;;;
6;6;2;20;1;1;4;1;2;4;1;1;1;1;1;1;1;1;3;18;13;15;2;0;1;Janice1;114;90;87;5;4;;;;;;;;;;;;;;;;;;;;;;;
6;6;2;20;1;1;4;1;2;4;1;1;1;1;1;1;1;1;3;19;19;9;18;1;0;rebecca;127;82;79;5;4;;;;;;;;;;;;;;;;;;;;;;;
6;6;2;20;1;1;4;1;2;4;1;1;1;1;1;1;1;1;3;20;13;19;-9;0;0;STEVE;43;84;81;5;4;;;;;;;;;;;;;;;;;;;;;;;
6;6;2;20;1;1;4;1;2;4;1;1;1;1;1;1;1;1;3;21;15;13;2;1;1;larry;189;76;73;5;4;;;;;;;;;;;;;;;;;;;;;;;
6;6;2;20;1;1;4;1;2;4;1;1;1;1;1;1;1;1;3;22;14;17;-3;0;0;Pam;58;78;75;5;4;;;;;;;;;;;;;;;;;;;;;;;
6;6;2;20;1;1;4;1;2;4;1;1;1;1;1;1;1;1;3;23;14;16;1;0;1;kim;192;80;77;5;4;;;;;;;;;;;;;;;;;;;;;;;
6;6;2;20;1;1;4;1;2;4;1;1;1;1;1;1;1;1;3;24;14;20;-9;0;0;branD;185;82;79;5;4;2;1;1;1;1;2;1;1;1;3;4;4;4;4;3;2;3;3;8;2;6;5;92
