ID;name;gender;age;gameExp;rankEstim1;avatarChoice;consentChoice;snakeLevel;excited1;upset1;scared1;hostile1;proud1;irritable1;alert1;ashamed1;nervous1;determined1;trial;score;oppScore;scoreDiff;win;close;oppName;oppRank;rankStart;rankEnd;appleChoice;rankChoice;excited2;upset2;scared2;hostile2;proud2;irritable2;alert2;ashamed2;nervous2;determined2;mot1;mot2;mot3;mot4;mot5;mot6;mot7;mot8;enjoyed;satisfied;fair;credible;rankEstim2
7;7;2;22;1;200;3;1;2;2;1;1;1;2;2;3;1;2;3;1;12;1;20;1;0;LEE;92;95;95;4;1;;;;;;;;;;;;;;;;;;;;;;;
7;7;2;22;1;200;3;1;2;2;1;1;1;2;2;3;1;2;3;2;12;15;-3;0;0;Shirley;4;100;97;4;4;;;;;;;;;;;;;;;;;;;;;;;
7;7;2;22;1;200;3;1;2;2;1;1;1;2;2;3;1;2;3;3;14;16;-2;0;1;karen77;132;102;99;4;4;;;;;;;;;;;;;;;;;;;;;;;
7;7;2;22;1;200;3;1;2;2;1;1;1;2;2;3;1;2;3;4;17;15;3;1;0;Ed;10;94;94;5;1;;;;;;;;;;;;;;;;;;;;;;;
7;7;2;22;1;200;3;1;2;2;1;1;1;2;2;3;1;2;3;5;16;18;-2;0;1;emma;65;99;94;5;5;;;;;;;;;;;;;;;;;;;;;;;
7;7;2;22;1;200;3;1;2;2;1;1;1;2;2;3;1;2;3;6;12;18;9;0;0;Nate;24;99;96;5;4;;;;;;;;;;;;;;;;;;;;;;;
7;7;2;22;1;200;3;1;2;2;1;1;1;2;2;3;1;2;3;7;9;14;-7;0;0;taylor;118;101;96;5;5;;;;;;;;;;;;;;;;;;;;;;;
7;7;2;22;1;200;3;1;2;2;1;1;1;2;2;3;1;2;3;8;15;14;1;1;1;BRAD;104;91;86;5;5;;;;;;;;;;;;;;;;;;;;;;;
7;7;2;22;1;200;3;1;2;2;1;1;1;2;2;3;1;2;3;9;16;22;-9;0;0;anthonY;2;91;86;5;5;;;;;;;;;;;;;;;;;;;;;;;
7;7;2;22;1;200;3;1;2;2;1;1;1;2;2;3;1;2;3;10;17;14;5;1;0;linda;54;81;76;5;5;;;;;;;;;;;;;;;;;;;;;;;
7;7;2;22;1;200;3;1;2;2;1;1;1;2;2;3;1;2;3;11;14;16;1;0;1;Vivian;189;81;76;5;5;;;;;;;;;;;;;;;;;;;;;;;
7;7;2;22;1;200;3;1;2;2;1;1;1;2;2;3;1;2;3;12;16;18;1;0;1;mona;98;81;76;5;5;;;;;;;;;;;;;;;;;;;;;;;
7;7;2;22;1;200;3;1;2;2;1;1;1;2;2;3;1;2;3;13;18;17;0;1;1;George;87;71;66;5;5;;;;;;;;;;;;;;;;;;;;;;;
7;7;2;22;1;200;3;1;2;2;1;1;1;2;2;3;1;2;3;14;16;26;17;0;0;matt;196;71;66;5;5;;;;;;;;;;;;;;;;;;;;;;;
7;7;2;22;1;200;3;1;2;2;1;1;1;2;2;3;1;2;3;15;10;7;5;1;0;Carrie;7;61;56;5;5;;;;;;;;;;;;;;;;;;;;;;;
7;7;2;22;1;200;3;1;2;2;1;1;1;2;2;3;1;2;3;16;11;13;1;0;1;ScoTT;80;61;56;5;5;;;;;;;;;;;;;;;;;;;;;;;
7;7;2;22;1;200;3;1;2;2;1;1;1;2;2;3;1;2;3;17;19;22;-4;0;0;kev88;46;61;56;5;5;;;;;;;;;;;;;;;;;;;;;;;
7;7;2;22;1;200;3;1;2;2;1;1;1;2;2;3;1;2;3;18;12;14;2;0;1;Janice1;114;61;56;5;5;;;;;;;;;;;;;;;;;;;;;;;
7;7;2;22;1;200;3;1;2;2;1;1;1;2;2;3;1;2;3;19;13;3;18;1;0;rebecca;127;51;46;5;5;;;;;;;;;;;;;;;;;;;;;;;
7;7;2;22;1;200;3;1;2;2;1;1;1;2;2;3;1;2;3;20;21;27;-9;0;0;STEVE;43;51;46;5;5;;;;;;;;;;;;;;;;;;;;;;;
7;7;2;22;1;200;3;1;2;2;1;1;1;2;2;3;1;2;3;21;13;11;2;1;1;larry;189;41;36;5;5;;;;;;;;;;;;;;;;;;;;;;;
7;7;2;22;1;200;3;1;2;2;1;1;1;2;2;3;1;2;3;22;14;17;-3;0;0;Pam;58;41;36;5;5;;;;;;;;;;;;;;;;;;;;;;;
7;7;2;22;1;200;3;1;2;2;1;1;1;2;2;3;1;2;3;23;14;16;1;0;1;kim;192;41;36;5;5;;;;;;;;;;;;;;;;;;;;;;;
7;7;2;22;1;200;3;1;2;2;1;1;1;2;2;3;1;2;3;24;16;22;-9;0;0;branD;185;41;36;5;5;2;2;1;1;1;2;3;1;1;2;4;3;4;4;3;3;4;4;7;5;5;7;49
