ID;name;gender;age;gameExp;rankEstim1;avatarChoice;consentChoice;snakeLevel;excited1;upset1;scared1;hostile1;proud1;irritable1;alert1;ashamed1;nervous1;determined1;trial;score;oppScore;scoreDiff;win;close;oppName;oppRank;rankStart;rankEnd;appleChoice;rankChoice;excited2;upset2;scared2;hostile2;proud2;irritable2;alert2;ashamed2;nervous2;determined2;mot1;mot2;mot3;mot4;mot5;mot6;mot7;mot8;enjoyed;satisfied;fair;credible;rankEstim2
9;9;1;21;1;200;2;1;2;4;4;1;1;3;3;2;4;4;3;1;15;4;20;1;0;LEE;92;95;90;3;5;;;;;;;;;;;;;;;;;;;;;;;
9;9;1;21;1;200;2;1;2;4;4;1;1;3;3;2;4;4;3;2;14;17;-3;0;0;Shirley;4;95;95;5;1;;;;;;;;;;;;;;;;;;;;;;;
9;9;1;21;1;200;2;1;2;4;4;1;1;3;3;2;4;4;3;3;12;14;-2;0;1;karen77;132;100;100;4;1;;;;;;;;;;;;;;;;;;;;;;;
9;9;1;21;1;200;2;1;2;4;4;1;1;3;3;2;4;4;3;4;7;5;3;1;0;Ed;10;95;90;4;5;;;;;;;;;;;;;;;;;;;;;;;
9;9;1;21;1;200;2;1;2;4;4;1;1;3;3;2;4;4;3;5;17;19;-2;0;1;emma;65;95;90;4;5;;;;;;;;;;;;;;;;;;;;;;;
9;9;1;21;1;200;2;1;2;4;4;1;1;3;3;2;4;4;3;6;11;17;9;0;0;Nate;24;95;90;4;5;;;;;;;;;;;;;;;;;;;;;;;
9;9;1;21;1;200;2;1;2;4;4;1;1;3;3;2;4;4;3;7;10;15;-7;0;0;taylor;118;95;95;2;1;;;;;;;;;;;;;;;;;;;;;;;
9;9;1;21;1;200;2;1;2;4;4;1;1;3;3;2;4;4;3;8;17;16;1;1;1;BRAD;104;90;85;5;5;;;;;;;;;;;;;;;;;;;;;;;
9;9;1;21;1;200;2;1;2;4;4;1;1;3;3;2;4;4;3;9;15;21;-9;0;0;anthonY;2;90;85;5;5;;;;;;;;;;;;;;;;;;;;;;;
9;9;1;21;1;200;2;1;2;4;4;1;1;3;3;2;4;4;3;10;14;11;5;1;0;linda;54;80;75;5;5;;;;;;;;;;;;;;;;;;;;;;;
9;9;1;21;1;200;2;1;2;4;4;1;1;3;3;2;4;4;3;11;15;17;1;0;1;Vivian;189;80;75;5;5;;;;;;;;;;;;;;;;;;;;;;;
9;9;1;21;1;200;2;1;2;4;4;1;1;3;3;2;4;4;3;12;15;17;1;0;1;mona;98;80;75;5;5;;;;;;;;;;;;;;;;;;;;;;;
9;9;1;21;1;200;2;1;2;4;4;1;1;3;3;2;4;4;3;13;19;18;0;1;1;George;87;70;65;5;5;;;;;;;;;;;;;;;;;;;;;;;
9;9;1;21;1;200;2;1;2;4;4;1;1;3;3;2;4;4;3;14;16;26;17;0;0;matt;196;70;65;5;5;;;;;;;;;;;;;;;;;;;;;;;
9;9;1;21;1;200;2;1;2;4;4;1;1;3;3;2;4;4;3;15;18;15;5;1;0;Carrie;7;60;55;5;5;;;;;;;;;;;;;;;;;;;;;;;
9;9;1;21;1;200;2;1;2;4;4;1;1;3;3;2;4;4;3;16;20;22;1;0;1;ScoTT;80;60;55;5;5;;;;;;;;;;;;;;;;;;;;;;;
9;9;1;21;1;200;2;1;2;4;4;1;1;3;3;2;4;4;3;17;14;17;-4;0;0;kev88;46;60;55;5;5;;;;;;;;;;;;;;;;;;;;;;;
9;9;1;21;1;200;2;1;2;4;4;1;1;3;3;2;4;4;3;18;18;20;2;0;1;Janice1;114;60;57;5;4;;;;;;;;;;;;;;;;;;;;;;;
9;9;1;21;1;200;2;1;2;4;4;1;1;3;3;2;4;4;3;19;22;12;18;1;0;rebecca;127;52;47;5;5;;;;;;;;;;;;;;;;;;;;;;;
9;9;1;21;1;200;2;1;2;4;4;1;1;3;3;2;4;4;3;20;15;21;-9;0;0;STEVE;43;52;47;5;5;;;;;;;;;;;;;;;;;;;;;;;
9;9;1;21;1;200;2;1;2;4;4;1;1;3;3;2;4;4;3;21;16;14;2;1;1;larry;189;42;37;5;5;;;;;;;;;;;;;;;;;;;;;;;
9;9;1;21;1;200;2;1;2;4;4;1;1;3;3;2;4;4;3;22;10;13;-3;0;0;Pam;58;42;37;5;5;;;;;;;;;;;;;;;;;;;;;;;
9;9;1;21;1;200;2;1;2;4;4;1;1;3;3;2;4;4;3;23;14;16;1;0;1;kim;192;42;37;5;5;;;;;;;;;;;;;;;;;;;;;;;
9;9;1;21;1;200;2;1;2;4;4;1;1;3;3;2;4;4;3;24;15;21;-9;0;0;branD;185;42;37;5;5;1;5;1;4;2;3;3;4;1;3;5;5;5;3;4;1;1;5;1;6;1;0;13
