ID;name;gender;age;gameExp;rankEstim1;avatarChoice;consentChoice;snakeLevel;excited1;upset1;scared1;hostile1;proud1;irritable1;alert1;ashamed1;nervous1;determined1;trial;score;oppScore;scoreDiff;win;close;oppName;oppRank;rankStart;rankEnd;appleChoice;rankChoice;excited2;upset2;scared2;hostile2;proud2;irritable2;alert2;ashamed2;nervous2;determined2;mot1;mot2;mot3;mot4;mot5;mot6;mot7;mot8;enjoyed;satisfied;fair;credible;rankEstim2
2;2;1;21;1;200;3;1;2;2;1;3;1;1;1;4;1;3;4;1;20;9;20;1;0;LEE;92;95;95;5;1;;;;;;;;;;;;;;;;;;;;;;;
2;2;1;21;1;200;3;1;2;2;1;3;1;1;1;4;1;3;4;2;15;18;-3;0;0;Shirley;4;100;97;3;4;;;;;;;;;;;;;;;;;;;;;;;
2;2;1;21;1;200;3;1;2;2;1;3;1;1;1;4;1;3;4;3;22;24;-2;0;1;karen77;132;102;102;4;1;;;;;;;;;;;;;;;;;;;;;;;
2;2;1;21;1;200;3;1;2;2;1;3;1;1;1;4;1;3;4;4;23;21;3;1;0;Ed;10;97;97;3;1;;;;;;;;;;;;;;;;;;;;;;;
2;2;1;21;1;200;3;1;2;2;1;3;1;1;1;4;1;3;4;5;18;20;-2;0;1;emma;65;102;102;4;1;;;;;;;;;;;;;;;;;;;;;;;
2;2;1;21;1;200;3;1;2;2;1;3;1;1;1;4;1;3;4;6;22;28;9;0;0;Nate;24;107;102;5;5;;;;;;;;;;;;;;;;;;;;;;;
2;2;1;21;1;200;3;1;2;2;1;3;1;1;1;4;1;3;4;7;17;22;-7;0;0;taylor;118;107;107;1;1;;;;;;;;;;;;;;;;;;;;;;;
2;2;1;21;1;200;3;1;2;2;1;3;1;1;1;4;1;3;4;8;20;19;1;1;1;BRAD;104;102;102;3;1;;;;;;;;;;;;;;;;;;;;;;;
2;2;1;21;1;200;3;1;2;2;1;3;1;1;1;4;1;3;4;9;21;27;-9;0;0;anthonY;2;107;107;5;1;;;;;;;;;;;;;;;;;;;;;;;
2;2;1;21;1;200;3;1;2;2;1;3;1;1;1;4;1;3;4;10;22;19;5;1;0;linda;54;102;102;4;1;;;;;;;;;;;;;;;;;;;;;;;
2;2;1;21;1;200;3;1;2;2;1;3;1;1;1;4;1;3;4;11;15;17;1;0;1;Vivian;189;107;107;1;1;;;;;;;;;;;;;;;;;;;;;;;
2;2;1;21;1;200;3;1;2;2;1;3;1;1;1;4;1;3;4;12;18;20;1;0;1;mona;98;112;112;3;1;;;;;;;;;;;;;;;;;;;;;;;
2;2;1;21;1;200;3;1;2;2;1;3;1;1;1;4;1;3;4;13;20;19;0;1;1;George;87;107;107;5;1;;;;;;;;;;;;;;;;;;;;;;;
2;2;1;21;1;200;3;1;2;2;1;3;1;1;1;4;1;3;4;14;17;27;17;0;0;matt;196;112;112;1;1;;;;;;;;;;;;;;;;;;;;;;;
2;2;1;21;1;200;3;1;2;2;1;3;1;1;1;4;1;3;4;15;19;16;5;1;0;Carrie;7;107;102;5;5;;;;;;;;;;;;;;;;;;;;;;;
2;2;1;21;1;200;3;1;2;2;1;3;1;1;1;4;1;3;4;16;27;29;1;0;1;ScoTT;80;107;107;4;1;;;;;;;;;;;;;;;;;;;;;;;
2;2;1;21;1;200;3;1;2;2;1;3;1;1;1;4;1;3;4;17;23;26;-4;0;0;kev88;46;112;112;4;1;;;;;;;;;;;;;;;;;;;;;;;
2;2;1;21;1;200;3;1;2;2;1;3;1;1;1;4;1;3;4;18;20;22;2;0;1;Janice1;114;117;115;4;3;;;;;;;;;;;;;;;;;;;;;;;
2;2;1;21;1;200;3;1;2;2;1;3;1;1;1;4;1;3;4;19;25;15;18;1;0;rebecca;127;110;105;5;5;;;;;;;;;;;;;;;;;;;;;;;
2;2;1;21;1;200;3;1;2;2;1;3;1;1;1;4;1;3;4;20;19;25;-9;0;0;STEVE;43;110;109;4;2;;;;;;;;;;;;;;;;;;;;;;;
2;2;1;21;1;200;3;1;2;2;1;3;1;1;1;4;1;3;4;21;21;19;2;1;1;larry;189;104;99;1;5;;;;;;;;;;;;;;;;;;;;;;;
2;2;1;21;1;200;3;1;2;2;1;3;1;1;1;4;1;3;4;22;21;24;-3;0;0;Pam;58;104;99;5;5;;;;;;;;;;;;;;;;;;;;;;;
2;2;1;21;1;200;3;1;2;2;1;3;1;1;1;4;1;3;4;23;15;17;1;0;1;kim;192;104;104;1;1;;;;;;;;;;;;;;;;;;;;;;;
2;2;1;21;1;200;3;1;2;2;1;3;1;1;1;4;1;3;4;24;17;23;-9;0;0;branD;185;109;109;1;1;4;3;1;2;2;3;4;1;4;4;5;5;5;5;3;4;5;3;5;3;3;9;50
