ID;name;gender;age;gameExp;rankEstim1;avatarChoice;consentChoice;snakeLevel;excited1;upset1;scared1;hostile1;proud1;irritable1;alert1;ashamed1;nervous1;determined1;trial;score;oppScore;scoreDiff;win;close;oppName;oppRank;rankStart;rankEnd;appleChoice;rankChoice;excited2;upset2;scared2;hostile2;proud2;irritable2;alert2;ashamed2;nervous2;determined2;mot1;mot2;mot3;mot4;mot5;mot6;mot7;mot8;enjoyed;satisfied;fair;credible;rankEstim2
5;5;1;20;1;200;4;1;2;2;1;1;1;1;1;3;1;1;3;1;18;7;20;1;0;LEE;92;95;95;3;1;;;;;;;;;;;;;;;;;;;;;;;
5;5;1;20;1;200;4;1;2;2;1;1;1;1;1;3;1;1;3;2;20;23;-3;0;0;Shirley;4;100;99;3;2;;;;;;;;;;;;;;;;;;;;;;;
5;5;1;20;1;200;4;1;2;2;1;1;1;1;1;3;1;1;3;3;17;19;-2;0;1;karen77;132;104;99;3;5;;;;;;;;;;;;;;;;;;;;;;;
5;5;1;20;1;200;4;1;2;2;1;1;1;1;1;3;1;1;3;4;20;18;3;1;0;Ed;10;94;91;1;4;;;;;;;;;;;;;;;;;;;;;;;
5;5;1;20;1;200;4;1;2;2;1;1;1;1;1;3;1;1;3;5;10;12;-2;0;1;emma;65;96;96;1;1;;;;;;;;;;;;;;;;;;;;;;;
5;5;1;20;1;200;4;1;2;2;1;1;1;1;1;3;1;1;3;6;19;25;9;0;0;Nate;24;101;101;4;1;;;;;;;;;;;;;;;;;;;;;;;
5;5;1;20;1;200;4;1;2;2;1;1;1;1;1;3;1;1;3;7;21;26;-7;0;0;taylor;118;106;101;1;5;;;;;;;;;;;;;;;;;;;;;;;
5;5;1;20;1;200;4;1;2;2;1;1;1;1;1;3;1;1;3;8;21;20;1;1;1;BRAD;104;96;96;1;1;;;;;;;;;;;;;;;;;;;;;;;
5;5;1;20;1;200;4;1;2;2;1;1;1;1;1;3;1;1;3;9;23;29;-9;0;0;anthonY;2;101;101;5;1;;;;;;;;;;;;;;;;;;;;;;;
5;5;1;20;1;200;4;1;2;2;1;1;1;1;1;3;1;1;3;10;22;19;5;1;0;linda;54;96;91;5;5;;;;;;;;;;;;;;;;;;;;;;;
5;5;1;20;1;200;4;1;2;2;1;1;1;1;1;3;1;1;3;11;16;18;1;0;1;Vivian;189;96;96;1;1;;;;;;;;;;;;;;;;;;;;;;;
5;5;1;20;1;200;4;1;2;2;1;1;1;1;1;3;1;1;3;12;20;22;1;0;1;mona;98;101;96;5;5;;;;;;;;;;;;;;;;;;;;;;;
5;5;1;20;1;200;4;1;2;2;1;1;1;1;1;3;1;1;3;13;22;21;0;1;1;George;87;91;86;5;5;;;;;;;;;;;;;;;;;;;;;;;
5;5;1;20;1;200;4;1;2;2;1;1;1;1;1;3;1;1;3;14;19;29;17;0;0;matt;196;91;86;5;5;;;;;;;;;;;;;;;;;;;;;;;
5;5;1;20;1;200;4;1;2;2;1;1;1;1;1;3;1;1;3;15;28;25;5;1;0;Carrie;7;81;76;5;5;;;;;;;;;;;;;;;;;;;;;;;
5;5;1;20;1;200;4;1;2;2;1;1;1;1;1;3;1;1;3;16;23;25;1;0;1;ScoTT;80;81;76;5;5;;;;;;;;;;;;;;;;;;;;;;;
5;5;1;20;1;200;4;1;2;2;1;1;1;1;1;3;1;1;3;17;20;23;-4;0;0;kev88;46;81;76;5;5;;;;;;;;;;;;;;;;;;;;;;;
5;5;1;20;1;200;4;1;2;2;1;1;1;1;1;3;1;1;3;18;25;27;2;0;1;Janice1;114;81;76;5;5;;;;;;;;;;;;;;;;;;;;;;;
5;5;1;20;1;200;4;1;2;2;1;1;1;1;1;3;1;1;3;19;18;8;18;1;0;rebecca;127;71;66;5;5;;;;;;;;;;;;;;;;;;;;;;;
5;5;1;20;1;200;4;1;2;2;1;1;1;1;1;3;1;1;3;20;27;33;-9;0;0;STEVE;43;71;66;5;5;;;;;;;;;;;;;;;;;;;;;;;
5;5;1;20;1;200;4;1;2;2;1;1;1;1;1;3;1;1;3;21;31;29;2;1;1;larry;189;61;56;5;5;;;;;;;;;;;;;;;;;;;;;;;
5;5;1;20;1;200;4;1;2;2;1;1;1;1;1;3;1;1;3;22;26;29;-3;0;0;Pam;58;61;56;5;5;;;;;;;;;;;;;;;;;;;;;;;
5;5;1;20;1;200;4;1;2;2;1;1;1;1;1;3;1;1;3;23;25;27;1;0;1;kim;192;61;56;5;5;;;;;;;;;;;;;;;;;;;;;;;
5;5;1;20;1;200;4;1;2;2;1;1;1;1;1;3;1;1;3;24;27;33;-9;0;0;branD;185;61;56;4;5;1;2;1;2;1;4;3;3;1;4;5;5;5;4;5;4;5;5;3;9;1;8;20
