ID;name;gender;age;gameExp;rankEstim1;avatarChoice;consentChoice;snakeLevel;excited1;upset1;scared1;hostile1;proud1;irritable1;alert1;ashamed1;nervous1;determined1;trial;score;oppScore;scoreDiff;win;close;oppName;oppRank;rankStart;rankEnd;appleChoice;rankChoice;excited2;upset2;scared2;hostile2;proud2;irritable2;alert2;ashamed2;nervous2;determined2;mot1;mot2;mot3;mot4;mot5;mot6;mot7;mot8;enjoyed;satisfied;fair;credible;rankEstim2
4;4;1;24;1;200;2;1;2;3;1;1;1;1;1;2;1;1;2;1;16;5;20;1;0;LEE;92;95;95;4;1;;;;;;;;;;;;;;;;;;;;;;;
4;4;1;24;1;200;2;1;2;3;1;1;1;1;1;2;1;1;2;2;11;14;-3;0;0;Shirley;4;100;98;4;3;;;;;;;;;;;;;;;;;;;;;;;
4;4;1;24;1;200;2;1;2;3;1;1;1;1;1;2;1;1;2;3;11;13;-2;0;1;karen77;132;103;103;5;1;;;;;;;;;;;;;;;;;;;;;;;
4;4;1;24;1;200;2;1;2;3;1;1;1;1;1;2;1;1;2;4;11;9;3;1;0;Ed;10;98;95;3;4;;;;;;;;;;;;;;;;;;;;;;;
4;4;1;24;1;200;2;1;2;3;1;1;1;1;1;2;1;1;2;5;13;15;-2;0;1;emma;65;100;97;5;4;;;;;;;;;;;;;;;;;;;;;;;
4;4;1;24;1;200;2;1;2;3;1;1;1;1;1;2;1;1;2;6;14;20;9;0;0;Nate;24;102;102;5;1;;;;;;;;;;;;;;;;;;;;;;;
4;4;1;24;1;200;2;1;2;3;1;1;1;1;1;2;1;1;2;7;7;12;-7;0;0;taylor;118;107;104;5;4;;;;;;;;;;;;;;;;;;;;;;;
4;4;1;24;1;200;2;1;2;3;1;1;1;1;1;2;1;1;2;8;14;13;1;1;1;BRAD;104;99;94;4;5;;;;;;;;;;;;;;;;;;;;;;;
4;4;1;24;1;200;2;1;2;3;1;1;1;1;1;2;1;1;2;9;14;20;-9;0;0;anthonY;2;99;96;5;4;;;;;;;;;;;;;;;;;;;;;;;
4;4;1;24;1;200;2;1;2;3;1;1;1;1;1;2;1;1;2;10;20;17;5;1;0;linda;54;91;86;5;5;;;;;;;;;;;;;;;;;;;;;;;
4;4;1;24;1;200;2;1;2;3;1;1;1;1;1;2;1;1;2;11;10;12;1;0;1;Vivian;189;91;86;5;5;;;;;;;;;;;;;;;;;;;;;;;
4;4;1;24;1;200;2;1;2;3;1;1;1;1;1;2;1;1;2;12;11;13;1;0;1;mona;98;91;86;5;5;;;;;;;;;;;;;;;;;;;;;;;
4;4;1;24;1;200;2;1;2;3;1;1;1;1;1;2;1;1;2;13;13;12;0;1;1;George;87;81;76;5;5;;;;;;;;;;;;;;;;;;;;;;;
4;4;1;24;1;200;2;1;2;3;1;1;1;1;1;2;1;1;2;14;12;22;17;0;0;matt;196;81;78;5;4;;;;;;;;;;;;;;;;;;;;;;;
4;4;1;24;1;200;2;1;2;3;1;1;1;1;1;2;1;1;2;15;15;12;5;1;0;Carrie;7;73;70;5;4;;;;;;;;;;;;;;;;;;;;;;;
4;4;1;24;1;200;2;1;2;3;1;1;1;1;1;2;1;1;2;16;12;14;1;0;1;ScoTT;80;75;72;5;4;;;;;;;;;;;;;;;;;;;;;;;
4;4;1;24;1;200;2;1;2;3;1;1;1;1;1;2;1;1;2;17;13;16;-4;0;0;kev88;46;77;72;5;5;;;;;;;;;;;;;;;;;;;;;;;
4;4;1;24;1;200;2;1;2;3;1;1;1;1;1;2;1;1;2;18;11;13;2;0;1;Janice1;114;77;72;5;5;;;;;;;;;;;;;;;;;;;;;;;
4;4;1;24;1;200;2;1;2;3;1;1;1;1;1;2;1;1;2;19;14;4;18;1;0;rebecca;127;67;64;5;4;;;;;;;;;;;;;;;;;;;;;;;
4;4;1;24;1;200;2;1;2;3;1;1;1;1;1;2;1;1;2;20;7;13;-9;0;0;STEVE;43;69;69;4;1;;;;;;;;;;;;;;;;;;;;;;;
4;4;1;24;1;200;2;1;2;3;1;1;1;1;1;2;1;1;2;21;12;10;2;1;1;larry;189;64;64;5;1;;;;;;;;;;;;;;;;;;;;;;;
4;4;1;24;1;200;2;1;2;3;1;1;1;1;1;2;1;1;2;22;13;16;-3;0;0;Pam;58;69;66;5;4;;;;;;;;;;;;;;;;;;;;;;;
4;4;1;24;1;200;2;1;2;3;1;1;1;1;1;2;1;1;2;23;13;15;1;0;1;kim;192;71;68;4;4;;;;;;;;;;;;;;;;;;;;;;;
4;4;1;24;1;200;2;1;2;3;1;1;1;1;1;2;1;1;2;24;6;12;-9;0;0;branD;185;73;70;4;4;3;2;1;1;1;1;2;1;2;2;4;3;4;4;4;4;4;4;6;3;6;4;121
