ID;name;gender;age;gameExp;rankEstim1;avatarChoice;consentChoice;snakeLevel;excited1;upset1;scared1;hostile1;proud1;irritable1;alert1;ashamed1;nervous1;determined1;trial;score;oppScore;scoreDiff;win;close;oppName;oppRank;rankStart;rankEnd;appleChoice;rankChoice;excited2;upset2;scared2;hostile2;proud2;irritable2;alert2;ashamed2;nervous2;determined2;mot1;mot2;mot3;mot4;mot5;mot6;mot7;mot8;enjoyed;satisfied;fair;credible;rankEstim2
1;1;2;21;1;200;3;1;2;3;1;1;1;1;1;4;1;4;5;1;9;0;20;1;0;LEE;92;95;90;1;5;;;;;;;;;;;;;;;;;;;;;;;
1;1;2;21;1;200;3;1;2;3;1;1;1;1;1;4;1;4;5;2;11;14;-3;0;0;Shirley;4;95;95;1;1;;;;;;;;;;;;;;;;;;;;;;;
1;1;2;21;1;200;3;1;2;3;1;1;1;1;1;4;1;4;5;3;12;14;-2;0;1;karen77;132;100;95;4;5;;;;;;;;;;;;;;;;;;;;;;;
1;1;2;21;1;200;3;1;2;3;1;1;1;1;1;4;1;4;5;4;11;9;3;1;0;Ed;10;90;90;1;1;;;;;;;;;;;;;;;;;;;;;;;
1;1;2;21;1;200;3;1;2;3;1;1;1;1;1;4;1;4;5;5;10;12;-2;0;1;emma;65;95;95;1;1;;;;;;;;;;;;;;;;;;;;;;;
1;1;2;21;1;200;3;1;2;3;1;1;1;1;1;4;1;4;5;6;6;12;9;0;0;Nate;24;100;100;1;1;;;;;;;;;;;;;;;;;;;;;;;
1;1;2;21;1;200;3;1;2;3;1;1;1;1;1;4;1;4;5;7;11;16;-7;0;0;taylor;118;105;105;1;1;;;;;;;;;;;;;;;;;;;;;;;
1;1;2;21;1;200;3;1;2;3;1;1;1;1;1;4;1;4;5;8;15;14;1;1;1;BRAD;104;100;95;4;5;;;;;;;;;;;;;;;;;;;;;;;
1;1;2;21;1;200;3;1;2;3;1;1;1;1;1;4;1;4;5;9;8;14;-9;0;0;anthonY;2;100;95;1;5;;;;;;;;;;;;;;;;;;;;;;;
1;1;2;21;1;200;3;1;2;3;1;1;1;1;1;4;1;4;5;10;12;9;5;1;0;linda;54;90;88;4;3;;;;;;;;;;;;;;;;;;;;;;;
1;1;2;21;1;200;3;1;2;3;1;1;1;1;1;4;1;4;5;11;10;12;1;0;1;Vivian;189;93;88;2;5;;;;;;;;;;;;;;;;;;;;;;;
1;1;2;21;1;200;3;1;2;3;1;1;1;1;1;4;1;4;5;12;13;15;1;0;1;mona;98;93;88;1;5;;;;;;;;;;;;;;;;;;;;;;;
1;1;2;21;1;200;3;1;2;3;1;1;1;1;1;4;1;4;5;13;20;19;0;1;1;George;87;83;78;1;5;;;;;;;;;;;;;;;;;;;;;;;
1;1;2;21;1;200;3;1;2;3;1;1;1;1;1;4;1;4;5;14;11;21;17;0;0;matt;196;83;83;1;1;;;;;;;;;;;;;;;;;;;;;;;
1;1;2;21;1;200;3;1;2;3;1;1;1;1;1;4;1;4;5;15;21;18;5;1;0;Carrie;7;78;73;5;5;;;;;;;;;;;;;;;;;;;;;;;
1;1;2;21;1;200;3;1;2;3;1;1;1;1;1;4;1;4;5;16;16;18;1;0;1;ScoTT;80;78;73;3;5;;;;;;;;;;;;;;;;;;;;;;;
1;1;2;21;1;200;3;1;2;3;1;1;1;1;1;4;1;4;5;17;16;19;-4;0;0;kev88;46;78;73;5;5;;;;;;;;;;;;;;;;;;;;;;;
1;1;2;21;1;200;3;1;2;3;1;1;1;1;1;4;1;4;5;18;20;22;2;0;1;Janice1;114;78;73;5;5;;;;;;;;;;;;;;;;;;;;;;;
1;1;2;21;1;200;3;1;2;3;1;1;1;1;1;4;1;4;5;19;14;4;18;1;0;rebecca;127;68;63;5;5;;;;;;;;;;;;;;;;;;;;;;;
1;1;2;21;1;200;3;1;2;3;1;1;1;1;1;4;1;4;5;20;13;19;-9;0;0;STEVE;43;68;63;1;5;;;;;;;;;;;;;;;;;;;;;;;
1;1;2;21;1;200;3;1;2;3;1;1;1;1;1;4;1;4;5;21;14;12;2;1;1;larry;189;58;53;1;5;;;;;;;;;;;;;;;;;;;;;;;
1;1;2;21;1;200;3;1;2;3;1;1;1;1;1;4;1;4;5;22;16;19;-3;0;0;Pam;58;58;58;4;1;;;;;;;;;;;;;;;;;;;;;;;
1;1;2;21;1;200;3;1;2;3;1;1;1;1;1;4;1;4;5;23;18;20;1;0;1;kim;192;63;58;1;5;;;;;;;;;;;;;;;;;;;;;;;
1;1;2;21;1;200;3;1;2;3;1;1;1;1;1;4;1;4;5;24;11;17;-9;0;0;branD;185;63;58;4;5;2;3;1;2;2;2;3;2;1;2;4;4;4;4;4;2;5;4;7;5;5;4;75
